"Country Name","gunDeathsByCountry_totalDeaths","totalRate","shareOfDeaths"
"India",14712,1.0204479032171916,5.905492846935663
"China",1126,0.07900763147903783,0.45198375106372735
"United States",37040,10.83628946958996,14.868097814742859
"Indonesia",440,0.15725627879556803,0.1766188725293428
"Pakistan",2949,1.202643540186187,1.1837478524750726
"Nigeria",5103,2.226904049547118,2.048377514811901
"Brazil",49437,22.715316116060748,19.84433454825709
"Bangladesh",1580,0.9044012866058496,0.6342223149917311
"Russia",2480,1.7227357051333336,0.9954881906199322
"Ethiopia",3712,2.8615541481399602,1.4900210337020923
"Mexico",22118,17.094259258825595,8.878309596827282
"Japan",101,0.08236061371280408,0.040542059376053693
"Philippines",9268,7.781289414397017,3.7202357059135207
"Egypt",816,0.7127617866604046,0.32754772723623576
"DR Congo",1325,1.2544365159217723,0.5318636502304073
"Vietnam",507,0.5095596198825942,0.20351310993722
"Iran",873,0.972054480346634,0.35042789935935514
"Turkey",2232,2.587513575316938,0.895939371557939
"Germany",1020,1.2251888154098578,0.40943465904529475
"Thailand",2804,3.900631333318003,1.1255439058460845
"Tanzania",1684,2.4258462800273923,0.6759685939532121
"United Kingdom",162,0.23837046770007328,0.06502785761307621
"France",2098,3.233570939660611,0.8421508967421847
"South Africa",3610,5.916071657623134,1.4490775677975627
"Italy",797,1.357803461748036,0.319921003195196
"Kenya",2098,3.732894827912303,0.8421508967421847
"Myanmar",366,0.6658819932664413,0.14691478942213515
"Colombia",13171,25.163938156512547,5.286925386554487
"South Korea",44,0.08503736126130351,0.017661887252934282
"Uganda",1108,2.2193622450267254,0.44475843355116323
"Sudan",450,0.9117020975712499,0.1806329378141006
"Spain",303,0.6382525210500631,0.12162617812816108
"Iraq",4424,9.509140693733512,1.775822481976847
"Algeria",254,0.5488480015374659,0.10195725823284789
"Argentina",3309,7.184440547028384,1.328254202726353
"Afghanistan",620,1.4294623722850301,0.24887204765498305
"Poland",112,0.27845647399616813,0.04495753118928726
"Canada",875,2.2374484638906247,0.35123071241630677
"Morocco",659,1.7246135511339675,0.26452690226553843
"Ukraine",917,2.4171129912811806,0.36808978661228947
"Angola",417,1.1030393787174344,0.16738652237439988
"Saudi Arabia",534,1.4249906915285024,0.21435108620606608
"Uzbekistan",58,0.16258428733868696,0.02328157865159519
"Yemen",472,1.3401532368689897,0.18946388144056775
"Mozambique",991,2.842930091861354,0.39779386971949715
"Ghana",478,1.3744510031508284,0.19187232061142243
"Peru",879,2.5343503949607773,0.35283633853020985
"Malaysia",179,0.51626829165236,0.07185176859716447
"Nepal",192,0.6145904738796648,0.07707005346734959
"Madagascar",447,1.4393071233466885,0.17942871822867326
"Ivory Coast",1017,3.435427574937418,0.4082304394598673
"Venezuela",10599,36.05674288307117,4.254507795314783
"Cameroon",589,2.0037807839327946,0.23642844527223392
"Niger",778,2.7550577974297363,0.31229427915415614
"Australia",241,0.9026392347237298,0.09673897336266277
"North Korea",93,0.35435885395317024,0.037330807148247463
"Mali",1105,4.601139691891864,0.4435542139657359
"Taiwan",51,0.2129417298734784,0.020471732952264735
"Burkina Faso",992,4.161030714153255,0.3981952762479729
"Sri Lanka",311,1.4169037436692649,0.12483743035596731
"Malawi",318,1.4807252871838756,0.12764727605529777
"Zambia",742,3.51081480002432,0.29784364412902814
"Kazakhstan",209,1.0540561872467775,0.08389396445143785
"Chile",503,2.5586455029211033,0.2019074838233169
"Romania",31,0.15801012447324012,0.012443602382749153
"Chad",623,3.3055399151107636,0.2500762672404104
"Somalia",1313,7.018792295172878,0.5270467718886981
