"Country Name","gunDeathsByCountry_totalDeaths","totalRate","shareOfDeaths"
"Gambia",30,1.0556678277839808,0.012042195854273375
"Albania",70,2.4769817623371386,0.028098456993304537
"Jamaica",397,14.054400797525293,0.15935839180488431
"Armenia",50,1.7998696174449123,0.020070326423788955
"Qatar",7,0.2557487757854136,0.002809845699330454
"Botswana",120,4.4122610852544435,0.0481687834170935
"Lithuania",28,1.0398106356288144,0.011239382797321815
"Namibia",105,3.9685464348279633,0.04214768548995681
"Gabon",28,1.1269614663700611,0.011239382797321815
"Lesotho",182,7.724685420674909,0.0730559881825918
"Guinea-Bissau",87,3.95967683575397,0.03492236797739279
"Slovenia",36,1.6989426441682614,0.014450635025128049
"North Macedonia",46,2.20866507322685,0.01846470030988584
"Latvia",25,1.38103234930175,0.010035163211894477
"Equatorial Guinea",15,0.8547042637776903,0.006021097927136687
"Trinidad and Tobago",221,14.367442465219087,0.08871084279314718
"Bahrain",9,0.6005156427652544,0.003612658756282012
"Timor-Leste",13,0.9421088599540685,0.005218284870185129
"Estonia",16,1.2130024767994323,0.006422504455612466
"Mauritius",4,0.30722485326172944,0.0016056261139031165
"Cyprus",19,1.49787105222288,0.007626724041039803
"Eswatini",64,5.236994456150399,0.025690017822449864
"Djibouti",51,4.425819362352245,0.020471732952264735
"Fiji",2,0.21207288520918868,0.0008028130569515583
"Comoros",30,3.4577947337786203,0.012042195854273375
"Guyana",92,11.22506997366989,0.03692940061977168
"Bhutan",4,0.5048070248945584,0.0016056261139031165
"Solomon Islands",27,3.5682520718989577,0.010837976268846037
"Luxembourg",8,1.2092008089553412,0.003211252227806233
"Suriname",28,4.453032435570187,0.011239382797321815
"Montenegro",28,4.472114767242398,0.011239382797321815
"Malta",5,0.9315497261243805,0.0020070326423788955
"Maldives",2,0.38618463101023975,0.0008028130569515583
"Brunei",1,0.21936655712963246,0.00040140652847577913
"Belize",82,19.680503820897815,0.03291533533501389
"Bahamas",82,19.748424340655504,0.03291533533501389
"Iceland",4,1.0590724114284504,0.0016056261139031165
"Vanuatu",5,1.4606003067260644,0.0020070326423788955
"Barbados",15,5.313326886496711,0.006021097927136687
"Sao Tome and Principe",4,1.6921833819130978,0.0016056261139031165
"Samoa",3,1.3102382013049974,0.0012042195854273373
"Saint Lucia",20,11.061640994441525,0.008028130569515582
"Guam",4,2.2973454173702286,0.0016056261139031165
"Kiribati",1,0.7365777126315712,0.00040140652847577913
"Grenada",2,1.5762056002584977,0.0008028130569515583
"Micronesia",3,2.579535683576956,0.0012042195854273373
"Seychelles",2,1.847353204695972,0.0008028130569515583
"Saint Vincent and the Grenadines",13,12.538217451269734,0.005218284870185129
"United States Virgin Islands",23,23.45622354800877,0.00923235015494292
"Antigua and Barbuda",6,6.328045899426257,0.0024084391708546747
"Andorra",1,1.2446944897374939,0.00040140652847577913
"Dominica",3,4.088976120379457,0.0012042195854273373
"Bermuda",1,1.5640885274106513,0.00040140652847577913
"Greenland",11,19.369948405501066,0.004415471813233571
"Northern Mariana Islands",1,1.999000499750125,0.00040140652847577913
"Saint Kitts and Nevis",9,18.809956737099505,0.003612658756282012
"American Samoa",1,2.2965276501929086,0.00040140652847577913
"Marshall Islands",1,2.357656489449487,0.00040140652847577913
"Monaco",1,2.765716182205382,0.00040140652847577913
"San Marino",1,2.97495091330993,0.00040140652847577913
"World",249124,3.087531952226485,100.00000000000016
